"Alabama   (79)",
"Alaska   (25)",
"Washington (state)   (115)",
"Arizona   (97)",
"Arkansas   (74)",
"California   (80)",
"North Carolina   (203)",
"Colorado   (101)",
"Utah   (63)",
"Connecticut   (152)",
"Delaware   (30)",
"Florida   (336)",
"Missouri   (103)",
"Georgia   (148)",
"Tennessee   (129)",
"Hawaii   (28)",
"Idaho   (20)",
"Illinois   (231)",
"Indiana   (160)",
"Iowa   (109)",
"Kansas   (82)",
"Kentucky   (95)",
"Louisiana   (76)",
"Maine   (115)",
"Maryland   (116)",
"Massachusetts   (281)",
"Michigan   (218)",
"Minnesota   (181)",
"Mississippi   (59)",
"Montana   (35)",
"Nebraska   (69)",
"New Hampshire   (69)",
"New Jersey   (159)",
"New Mexico   (77)",
"New York   (425)",
"North Dakota   (54)",
"Ohio   (164)",
"Oklahoma   (78)",
"Pennsylvania   (269)",
"Rhode Island   (71)",
"South Carolina   (92)",
"Wisconsin   (163)",
"South Dakota   (39)",
"Vermont   (49)",
"Virginia   (254)",
"West Virginia   (70)",
"Washington, D.C.   (73)",
