museum_id,museum_name
0,Alabama Administrative Office of Courts Museum Area
1,Alabama Constitution Village
2,Alabama Department of Archives and History
3,Alabama Governor's Mansion
4,Alabama Jazz Hall of Fame
5,Alabama Museum of Natural History
6,Alabama Music Hall of Fame
7,Alabama Rural Heritage Center
8,Alabama State Capitol
9,Alabama Women's Hall of Fame
10,Aldrich Coal Mine Museum
11,Alabama Sports Hall of Fame
12,Anniston Museum of Natural History
13,Arlington Antebellum Home & Gardens
14,Ave Maria Grotto
15,Barber Vintage Motorsports Museum
16,Battleship Memorial Park
17,Bellingrath Gardens and Home
18,Bessemer Hall of History
19,Birmingham Civil Rights Institute
20,Birmingham Museum of Art
21,Bluff Hall
22,Bridgeport Depot Museum
23,Burritt on the Mountain
24,Cullman County Museum
25,Dauphin Island Sea Lab
26,Dexter Parsonage Museum
27,Fendall Hall
28,First White House of the Confederacy
29,Fort Conde
30,Fort Gaines
31,Fort Mitchell
32,Fort Morgan
33,Fort Payne Depot Museum
34,Gaineswood
35,George Washington Carver Museum
36,Gorgas House
37,Gulf Coast Exploreum Science Center
38,Heart of Dixie Railroad Museum
39,Huntsville Depot
40,Huntsville Museum of Art
41,International Motorsports Hall of Fame
42,Iron & Steel Museum of Alabama
43,Ivy Green
44,Joseph Wheeler Plantation
45,Jule Collins Smith Museum of Fine Art
46,Magnolia Grove
47,Marietta Johnson School of Organic Education
48,Kathryn Tucker Windham Museum
49,McWane Science Center
50,Mercedes-Benz Visitor Center and Museum
51,Mobile Museum of Art
52,Montgomery Museum of Fine Arts
53,Moundville Archaeological Park
54,National Voting Rights Museum
55,North Alabama Railroad Museum
56,Oakleigh Historic Complex
57,Old Alabama Town
58,Old Cahawba Archaeological Park
59,Old Courthouse Museum
60,Paul W. Bryant Museum
61,Richards DAR House
62,Rickwood Field
63,Rosenbaum House
64,Shelby County Historical Society Museum
65,Shelby Iron Works
66,Shorter Mansion
67,Skyline Commissary
68,Southern Museum of Flight
69,Stevenson Railroad Depot Museum
70,Sturdivant Hall
71,Three Notch Museum
72,United States Army Aviation Museum
73,U.S. Space & Rocket Center
74,Vaughan-Smitherman Museum
75,Vulcan Statue and Vulcan Park
