query,museum_id,museum_name,score,rel
"performing arts, such as music, theater, or dance",341,Arvada Center for the Arts and Humanities,22.35251728,5
"performing arts, such as music, theater, or dance",1674,Lawrence Arts Center,20.93414218,5
"performing arts, such as music, theater, or dance",643,Atlantic Center for the Arts,20.31928285,4
"performing arts, such as music, theater, or dance",153,Mesa Arts Center,20.23272413,5
"performing arts, such as music, theater, or dance",4907,Ferguson Center for the Arts,20.12473352,5
"performing arts, such as music, theater, or dance",356,Colorado Springs Fine Arts Center,20.10792315,4
"performing arts, such as music, theater, or dance",182,Tempe Center for the Arts,19.46450167,5
"performing arts, such as music, theater, or dance",1224,Illinois State University College of Fine Arts Galleries,19.09938041,3
"performing arts, such as music, theater, or dance",5069,Virginia Museum of Fine Arts,18.57721971,3
"performing arts, such as music, theater, or dance",2731,Walker Art Center,17.64939121,4
"performing arts, such as music, theater, or dance",4598,Washington Pavilion of Arts and Science,17.12025799,5
"performing arts, such as music, theater, or dance",423,Sangre de Cristo Arts and Conference Center,16.44294599,4
"performing arts, such as music, theater, or dance",3347,Chautauqua Institution,16.41944013,5
"performing arts, such as music, theater, or dance",5233,Museums of Oglebay Institute,16.30945148,3
"performing arts, such as music, theater, or dance",5235,Oglebay Institute’s Stifel Fine Arts Center,16.30945148,3
"performing arts, such as music, theater, or dance",2660,Landmark Center,15.59197039,4
"performing arts, such as music, theater, or dance",3441,Iroquois Indian Museum,15.32346537,3
"performing arts, such as music, theater, or dance",5645,Huret and Spector Gallery at Emerson College,15.27825198,3
"performing arts, such as music, theater, or dance",2089,Strathmore,15.16667563,5
"performing arts, such as music, theater, or dance",5312,John Michael Kohler Arts Center,15.10837828,4
"performing arts, such as music, theater, or dance",5621,Stephen Foster Memorial Museum,14.50198918,3
"performing arts, such as music, theater, or dance",1741,Georgetown College Fine Art Galleries,13.97621142,3
"performing arts, such as music, theater, or dance",210,Arts and Science Center for Southeast Arkansas,13.41400633,4
"performing arts, such as music, theater, or dance",1555,Graceland University Galleries,13.01544835,3
"performing arts, such as music, theater, or dance",1993,Academy Art Museum,13.01118342,3
"performing arts, such as music, theater, or dance",1401,Great American Songbook Foundation,12.8742027,5
"performing arts, such as music, theater, or dance",4560,Winthrop University Galleries,12.85100416,3
"performing arts, such as music, theater, or dance",3867,Empire Arts Center,12.57719905,5
"performing arts, such as music, theater, or dance",4389,Whitaker Center for Science and the Arts,12.51028483,5
"performing arts, such as music, theater, or dance",5230,Monongalia Arts Center,12.4581355,4
"performing arts, such as music, theater, or dance",5696,Seattle University Galleries,12.02455636,3
"performing arts, such as music, theater, or dance",2875,Stephens College Historic Costume Gallery,12.02433707,2
"performing arts, such as music, theater, or dance",253,The Momentary,11.90099708,4
"performing arts, such as music, theater, or dance",2511,University of Michigan School of Art & Design Galleries,11.67288552,3
"performing arts, such as music, theater, or dance",3616,Tang Teaching Museum,11.5220458,3
"performing arts, such as music, theater, or dance",1177,Draewell Gallery at Judson University,11.51149297,3
