,query,museum_id,museum_name,rel
0,"performing arts, such as music, theater, or dance",2754,Delta State University Sculpture Garden,3
1,"performing arts, such as music, theater, or dance",1323,Sousa Archives and Center for American Music,4
2,"performing arts, such as music, theater, or dance",160,Musical Instrument Museum,4
3,"performing arts, such as music, theater, or dance",5196,"Carnegie Hall, Inc.",5
4,"performing arts, such as music, theater, or dance",4948,John C. Wells Planetarium,2
5,"performing arts, such as music, theater, or dance",405,Museum of Outdoor Arts,3
6,"performing arts, such as music, theater, or dance",2245,Massachusetts Museum of Contemporary Art,4
7,"performing arts, such as music, theater, or dance",3172,Perkins Center for the Arts,4
8,"performing arts, such as music, theater, or dance",1224,Illinois State University College of Fine Arts Galleries,3
9,"performing arts, such as music, theater, or dance",341,Arvada Center for the Arts and Humanities,5
10,"performing arts, such as music, theater, or dance",1522,Anamosa State Penitentiary Museum,2
11,"performing arts, such as music, theater, or dance",1347,Wheaton College Walford Art Galleries,3
12,"performing arts, such as music, theater, or dance",896,Ringling Museum of Art,4
13,"performing arts, such as music, theater, or dance",361,Denver Art Museum,3
14,"performing arts, such as music, theater, or dance",3506,National Comedy Center,4
15,"performing arts, such as music, theater, or dance",5018,Radford University Art Museum,3
16,"performing arts, such as music, theater, or dance",1715,Bill Monroe Museum,4
17,"performing arts, such as music, theater, or dance",1401,Great American Songbook Foundation,5
18,"performing arts, such as music, theater, or dance",1741,Georgetown College Fine Art Galleries,3
19,"performing arts, such as music, theater, or dance",5233,Museums of Oglebay Institute,3
20,"performing arts, such as music, theater, or dance",2029,Goucher College Art Galleries,3
21,"performing arts, such as music, theater, or dance",4689,Parthenon,2
22,"performing arts, such as music, theater, or dance",1434,Indianapolis Museum of Art,3
23,"performing arts, such as music, theater, or dance",5388,Ten Chimneys,3
24,"performing arts, such as music, theater, or dance",1046,Oglethorpe University Museum of Art,3
25,"performing arts, such as music, theater, or dance",5312,John Michael Kohler Arts Center,4
26,"performing arts, such as music, theater, or dance",4654,Guinness World Records,2
27,"performing arts, such as music, theater, or dance",356,Colorado Springs Fine Arts Center,4
28,"performing arts, such as music, theater, or dance",3717,Greensboro College Art Galleries,3
29,"performing arts, such as music, theater, or dance",3441,Iroquois Indian Museum,3
30,"performing arts, such as music, theater, or dance",726,Florida Museum of Natural History,2
31,"performing arts, such as music, theater, or dance",210,Arts and Science Center for Southeast Arkansas,4
32,"performing arts, such as music, theater, or dance",5230,Monongalia Arts Center,4
33,"performing arts, such as music, theater, or dance",1555,Graceland University Galleries,3
34,"performing arts, such as music, theater, or dance",2346,Alden B. Dow Museum of Science & Art,3
35,"performing arts, such as music, theater, or dance",4021,Oak Hill Cottage Museum,2
36,"performing arts, such as music, theater, or dance",5632,Boston Children's Museum,3
37,"performing arts, such as music, theater, or dance",2483,New Presque Isle Light,2
38,"performing arts, such as music, theater, or dance",5653,Massachusetts College of Art and Design Galleries,3
39,"performing arts, such as music, theater, or dance",2875,Stephens College Historic Costume Gallery,2
40,"performing arts, such as music, theater, or dance",3625,Top Cottage,2
41,"performing arts, such as music, theater, or dance",4788,Weber State University Museum of Natural Science,2
42,"performing arts, such as music, theater, or dance",3786,Museum of Anthropology at Wake Forest University,2
43,"performing arts, such as music, theater, or dance",2419,Grand Valley State University Art Galleries,3
44,"performing arts, such as music, theater, or dance",2089,Strathmore,5
45,"performing arts, such as music, theater, or dance",5668,USS Constitution,2
46,"performing arts, such as music, theater, or dance",1072,Valdosta State University Fine Arts Gallery,3
47,"performing arts, such as music, theater, or dance",1674,Lawrence Arts Center,5
48,"performing arts, such as music, theater, or dance",746,Frost Art Museum,3
49,"performing arts, such as music, theater, or dance",4598,Washington Pavilion of Arts and Science,5
50,"performing arts, such as music, theater, or dance",254,Mosaic Templars Cultural Center,3
51,"performing arts, such as music, theater, or dance",1378,Conner Prairie,3
52,"performing arts, such as music, theater, or dance",4800,Bread and Puppet Museum,4
53,"performing arts, such as music, theater, or dance",5471,The Phillips Collection,3
54,"performing arts, such as music, theater, or dance",1326,Southern Illinois University Edwardsville ADW Gallery,3
55,"performing arts, such as music, theater, or dance",4045,Schumacher Gallery,3
